#name	ftp_path	organism	assembly_level
Pfal_309_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/861/135/GCA_001861135.1_309_1	Plasmodium falciparum	Scaffold
Pfal_318_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/861/165/GCA_001861165.1_318_1	Plasmodium falciparum	Contig
Pfal_383_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/861/195/GCA_001861195.1_383_1	Plasmodium falciparum	Contig
Pfal_397_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/861/215/GCA_001861215.1_397_1	Plasmodium falciparum	Scaffold
Pfal_326_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/861/235/GCA_001861235.1_326_1	Plasmodium falciparum	Scaffold
Pfal_366_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/861/275/GCA_001861275.1_366_1	Plasmodium falciparum	Contig
Pfal_398_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/861/305/GCA_001861305.1_398_1	Plasmodium falciparum	Contig
#Pfal_VS_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/295/GCA_000150295.1_ASM15029v1	Plasmodium falciparum	Scaffold
#Pfal_Senegal_V34_04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/315/GCA_000150315.1_ASM15031v1	Plasmodium falciparum	Scaffold
#Pfal_RO_33	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/335/GCA_000150335.1_ASM15033v1	Plasmodium falciparum	Scaffold
#Pfal_K1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/355/GCA_000150355.1_ASM15035v1	Plasmodium falciparum	Scaffold
#Pfal_FCC_2_Hainan	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/375/GCA_000150375.1_ASM15037v1	Plasmodium falciparum	Scaffold
#Pfal_D10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/395/GCA_000150395.1_ASM15039v1	Plasmodium falciparum	Scaffold
#Pfal_D6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/415/GCA_000150415.1_ASM15041v1	Plasmodium falciparum	Scaffold
#Pfal_RAJ116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/025/GCA_000186025.2_ASM18602v2	Plasmodium falciparum	Scaffold
#Pfal_365_1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/861/175/GCA_001861175.1_365_1	Plasmodium falciparum	Scaffold
