#name	ftp_path	organism	assembly_level
M_tub_variant_africanum_MAL020173	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/667/325/GCF_000667325.1_Myco_afri_MAL020173_V1	Mycobacterium tuberculosis	Scaffold
M_tub_variant_africanum_MAL020176	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/667/365/GCF_000667365.1_Myco_afri_MAL020176_V1	Mycobacterium tuberculosis	Scaffold
M_tub_variant_africanum_MAL020185	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/667/445/GCF_000667445.1_Myco_afri_MAL020185_V1	Mycobacterium tuberculosis	Scaffold
M_tub_variant_africanum_MAL020193	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/667/525/GCF_000667525.1_Myco_tube_MAL020193_V1	Mycobacterium tuberculosis	Scaffold
M_tub_variant_bovis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/078/615/GCF_001078615.1_ASM107861v1	Mycobacterium tuberculosis	Complete Genome
M_tub_variant_bovis_04_303	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/488/915/GCF_000488915.1_MB04303v1	Mycobacterium tuberculosis	Contig
M_tub_variant_bovis_AF2122_97	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/835/GCF_000195835.2_ASM19583v2	Mycobacterium tuberculosis	Complete Genome
M_tub_variant_bovis_AN5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/488/935/GCF_000488935.1_MBAN5v1	Mycobacterium tuberculosis	Contig
M_tub_variant_bovis_B2_7505	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/649/675/GCF_000649675.1_Myco_bovi_B2_7505_V1	Mycobacterium tuberculosis	Scaffold
M_tub_variant_bovis_BCG	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/043/255/GCF_001043255.1_ASM104325v1	Mycobacterium tuberculosis	Complete Genome
M_tub_variant_bovis_BCG_ATCC_35733	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/035/GCF_000194035.1_ASM19403v2	Mycobacterium tuberculosis	Contig
M_tub_variant_bovis_BCG_ATCC_35740	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/055/GCF_000194055.1_ASM19405v2	Mycobacterium tuberculosis	Contig
M_tub_variant_bovis_BCG_ATCC_35743	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/075/GCF_000194075.2_ASM19407v3	Mycobacterium tuberculosis	Complete Genome
M_tub_variant_bovis_BCG_China	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/015/GCF_000194015.1_ASM19401v2	Mycobacterium tuberculosis	Contig
M_tub_variant_bovis_BCG_Frappier	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/175/GCF_000463175.1_BCG_Frappier	Mycobacterium tuberculosis	Contig
M_tub_variant_bovis_BCG_Glaxo	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/195/GCF_000463195.1_BCG_Glaxo	Mycobacterium tuberculosis	Contig
M_tub_variant_bovis_BCG_Korea_1168P	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/338/715/GCF_000338715.2_ASM33871v2	Mycobacterium tuberculosis	Complete Genome
M_tub_variant_bovis_BCG_Mexico	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/234/725/GCF_000234725.1_ASM23472v1	Mycobacterium tuberculosis	Complete Genome
M_tub_variant_bovis_BCG_Moreau	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/215/GCA_000463215.1_BCG_Moreau	Mycobacterium tuberculosis	Contig
M_tub_variant_bovis_BCG_Moreau_RDJ	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/285/GCF_000967285.1_ASM96728v1	Mycobacterium tuberculosis	Complete Genome
